Film,alex,xav,Greg
It Happened on Fifth Avenue (1947),,,
Demolition (2016),,,
Alvin and the Chipmunks: The Squeakquel (2009),2,,
Front Cover (2016),,,
"Piano Teacher, The (La pianiste) (2001)",,,
Shotgun Stories (2007),,,
Star Wars: Episode VII - The Force Awakens (2015),3,3,
High School (2010),,,
Eight Men Out (1988),,,
Paradise (1982),,,
Down Argentine Way (1940),,,
Sleepwalkers (1992),,,
Superman IV: The Quest for Peace (1987),,,
"General's Daughter, The (1999)",,,
Rick and Morty: State of Georgia Vs. Denver Fenton Allen (2016),3.5,,
Shooter (2007),2.6,4.5,
I Heart Huckabees (2004),,,
"Musketeer, The (2001)",,,
Frenzy (1972),,,
Storks (2016),,,
"Pirates! Band of Misfits, The (2012)",,,
"Hills Have Eyes II, The (2007)",,,
Atlantic City (1980),,,
Diary of a Country Priest (Journal d'un curé de campagne) (1951),,,
Not Suitable for Children (2012),,,
Bunraku (2010),,,
The Square (2017),,,
Thor: Ragnarok (2017),2,3,
The Boy and the Beast (2015),,,
Just Married (2003),0,,
Johnny Belinda (1948),,,
Blue Exorcist: The Movie (2012),,,
Shopgirl (2005),,,
"Atomic Brain, The (1963)",,,
Flesh & Blood (1985),,,
Jobs (2013),2.5,,
V/H/S (2012),,,
Drive Hard (2014),,,
"Nut Job, The (2014)",,,
Rocky III (1982),,2,
Barbarians at the Gate (1993),,,
"Last Kiss, The (2006)",,,
Plastic (2014),,,
It's Such a Beautiful Day (2012),,,
Austenland (2013),,,
Leviathan (2014),,,
"Simpsons Movie, The (2007)",3.5,3,
"Last Samurai, The (2003)",1,3.5,
Crime Busters (1977),,,
Digimon: The Movie (2000),,,
Life-Size (2000),,,
Let's Be Cops (2014),,,
Taxi (1998),4,,
Jupiter's Wife (1994),,,
Unedited Footage of a Bear (2014),,,
Brassed Off (1996),,,
"Core, The (2003)",2.8,,
Another 48 Hrs. (1990),,,
Oscar (1991),,,
With Honors (1994),,,
"Summer's Tale, A (Conte d'été) (1996)",,,
"Walk to Remember, A (2002)",,,
Jimi: All Is by My Side (2013),,,
Fantastic Four (2005),2.1,,
"Valet, The (La doublure) (2006)",1.5,,
Redline (2009),,,
Freedom Writers (2007),,,
"Amityville Curse, The (1990)",4.2,,
Hercules (2014),,,
Hustler White (1996),,,
Sarafina! (1992),,,
Bubba Ho-tep (2002),,,
No Direction Home: Bob Dylan (2005),,,
"Cell, The (2000)",,,
Into Eternity (2010),,,
Romy and Michele's High School Reunion (1997),,,
FLCL (2000),,,
"Triplets of Belleville, The (Les triplettes de Belleville) (2003)",,,
Blue Steel (1990),,,
Pulse (Kairo) (2001),,,
Rollerball (2002),,,
Paper Man (2009),,,
The True Memoirs of an International Assassin (2016),,,
"Librarian: Quest for the Spear, The (2004)",,,
I Love Trouble (1994),,,
Double Dragon (1994),,,
Creed (2015),,,
Hercules (1997),,,
Waiting for Guffman (1996),,,
Hackers (1995),,,
Bus 174 (Ônibus 174) (2002),,,
"Da Vinci Code, The (2006)",4.8,,
Canadian Bacon (1995),,,
Salem's Lot (2004),,,
Ace Ventura: When Nature Calls (1995),,,
Comedy Central Roast of David Hasselhoff (2010),,,
Guarding Tess (1994),,,
Bobby (2006),,,
"Late Shift, The (1996)",,,
Survivor (2015),,,
Dave Chappelle: The Age of Spin (2017),,,
Next Friday (2000),,,
Click (2006),,,
In the Realms of the Unreal (2004),,,
Casino (1995),,,
"Road to El Dorado, The (2000)",,,
Dirty Work (1998),,,
(500) Days of Summer (2009),,,
"Butcher Boy, The (1997)",,,
Baraka (1992),,,
In the Bedroom (2001),,,
Crazy/Beautiful (2001),,,
"Mod Squad, The (1999)",,,
"Adventures of Rocky and Bullwinkle, The (2000)",,,
"Sum of All Fears, The (2002)",,,
Blue Collar Comedy Tour: The Movie (2003),,,
Kick-Ass (2010),3,,
Unlawful Entry (1992),,,
"Wolf of Wall Street, The (2013)",4.5,,
Tape (2001),,,
With Honors (1994),,,
Chasers (1994),,,
"Young Poisoner's Handbook, The (1995)",,,
"World's Fastest Indian, The (2005)",,,
Harry Potter and the Half-Blood Prince (2009),4.8,,
